Title,Content,URL,Program
State Retiree,"Whether you are already retired or you have just started thinking about retirement, the state provides benefits to help you feel secure in your future.",https://calhr.benefitsprograms.info/state-retiree/,State Retiree
Service Retirement,"Service retirement is a lifetime benefit. In general, you can retire as early as age 50 with five years of service credit unless all service was earned on or after January 1, 2013. Then you must be at least age 52 to retire. There are some exceptions to the 5-year requirement. If you're employed on a part-time basis and have worked at least five years, or you're also a member of a reciprocal retirement system, contact us to find out if an exception applies to you.

Use our Retirement Planning Checklist to help prepare for retirement and find the documents needed to submit a complete application package. You can also watch Retirement Income Sources (video) to learn about potential retirement income sources, including your CalPERS pension, Social Security, personal savings, defined contribution plan, supplemental contribution plan, CalPERS Long-Term Care, and estate planning.

You may file your service retirement application within 120 days of your planned retirement date.

Retirement Calculation Formula
Get an Estimate
Steps to Apply
After You Submit Your Application
Nonmember Service Retirement
Partial Service Retirement",https://www.calpers.ca.gov/page/active-members/retirement-benefits/service-disability-retirement,CalPERS Service & Disability Retirement
Disability & Industrial Disability Retirement,"If you have a disabling injury or illness that prevents you from performing your usual job duties with your current employer, you may be eligible for disability or industrial disability retirement. If your disability or industrial disability retirement is approved, you'll receive a monthly retirement payment for the rest of your life or until you recover from your injury or illness.",https://www.calpers.ca.gov/page/active-members/retirement-benefits/service-disability-retirement,CalPERS Service & Disability Retirement
Retiree Dental Benefits,"California Public Employees’ Retirement System (CalPERS) maintains the dental benefit enrollment records for all state retirees, processes retirees’ dental enrollments, and submits eligibility information to the appropriate dental plan.

It is important that you maintain your address current to help ensure you receive timely information about your sponsored dental benefits. Report address changes to CalPERS at the address below (be sure to include your MyCalPERS ID and telephone number):

California Public Employees’ Retirement System
Health Account Management Division
P.O. Box 942715
Sacramento, CA 94229-2715

If you are a retired state employee and have any questions regarding your eligibility, contact CalPERS, toll free at: (888) 225-7377/ TTY (877) 249-7442 or visit the CalPERS website.

Please view the State Retiree Open Enrollment Resources page for 2023 Benefit information.",https://calhr.benefitsprograms.info/state-retiree/retiree-dental-benefits/,Retiree Dental Benefits
Affidavit of Parent-Child Relationship form,"The Public Employees' Medical and Hospital Care Act (PEMHCA), allows employees and annuitants to enroll family members in the CalPERS Health Benefits Program. Pursuant to Title 2, California Code of Regulations, 599.500(o), a ""parent-child relationship"" (PCR) is established when you intentionally assume parental status or duties over a child who is not your adopted, step, or recognized natural child, and meet specific enrollment criteria. The Department of Human Resources Dental and Vision Programs follow this same criteria. As specified in Section 599.500(o) and outlined below, you are required to substantiate a financial responsibility upon initial enrollment and annually thereafter, up to the child reaching age 26. You must submit a separate PCR Affidavit for each PCR dependent. Note: Spouses of your adopted, step, and recognized natural children do not qualify for CalHR dental and vision coverage under any circumstances.",https://www.calhr.ca.gov/Documents/CalHR-025.pdf#search=CalHR%20025,Retiree Dental Benefits
Can I change my dental plan at any time?,"No, you must have a permitting event to make changes to your dental enrollment outside of Open Enrollment. CalPERS can determine if you have a qualifying permitting event.",https://calhr.benefitsprograms.info/state-retiree/retiree-dental-benefits/,Retiree Dental Benefits
Can I cancel my dental benefits?,"Yes, you may cancel at any time. However, you cannot re-enroll back into a dental plan until the next Open Enrollment unless you have a permitting event.",https://calhr.benefitsprograms.info/state-retiree/retiree-dental-benefits/,Retiree Dental Benefits
My spouse and I are both retired state employees. Can we cover each other on our state-sponsored dental plans?,"No, dual coverage is never allowed under any circumstances. If this is happening, both of you must immediately notify CalPERS.",https://calhr.benefitsprograms.info/state-retiree/retiree-dental-benefits/,Retiree Dental Benefits
My dependent child is going to turn 26 years old. Do I have to delete them from my dental benefits?,Yes. This is a mandatory deletion. The only exception is if the dependent is incapable of self-support because of disability and dependent upon the eligible employee or annuitant for support and care. A disability certification (CalPERS HBD 34) is required to ensure disabled dependent children remain covered. CalPERS must be informed prior to your dependent turning 26.,https://calhr.benefitsprograms.info/state-retiree/retiree-dental-benefits/,Retiree Dental Benefits
How do I delete my child once they turn 26 years old?,It is your responsibility to inform CalPERS of changes with your dependents. CalPERS can assist you in removing ineligible dependents from your dental plan.,https://calhr.benefitsprograms.info/state-retiree/retiree-dental-benefits/,Retiree Dental Benefits
